organizacion	archivo_esperado
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE PERU - COMUNIDAD POLITICA INKA PERU	assets/logos/partido_de_los_trabajadores_y_emprendedores_pte_peru_comunidad_politica_inka_peru.png
PARTIDO DEL BUEN GOBIERNO	assets/logos/partido_del_buen_gobierno.png
PARTIDO DEMOCRATA UNIDO PERU	assets/logos/partido_democrata_unido_peru.png
PARTIDO DEMOCRATA VERDE	assets/logos/partido_democrata_verde.png
PARTIDO DEMOCRATICO SOMOS PERU	assets/logos/partido_democratico_somos_peru.png
PARTIDO FRENTE DE LA ESPERANZA 2021	assets/logos/partido_frente_de_la_esperanza_2021.png
PARTIDO MORADO	assets/logos/partido_morado.png
PARTIDO PAIS PARA TODOS	assets/logos/partido_pais_para_todos.png
PARTIDO PATRIOTICO DEL PERU	assets/logos/partido_patriotico_del_peru.png
PARTIDO POLITICO ADP	assets/logos/partido_politico_adp.png
PARTIDO POLITICO INTEGRIDAD DEMOCRATICA	assets/logos/partido_politico_integridad_democratica.png
PARTIDO POLITICO NACIONAL PERU LIBRE	assets/logos/partido_politico_nacional_peru_libre.png
PARTIDO POLITICO PERU ACCION	assets/logos/partido_politico_peru_accion.png
PARTIDO POLITICO PERU PRIMERO	assets/logos/partido_politico_peru_primero.png
PARTIDO POLITICO PRIN	assets/logos/partido_politico_prin.png
PARTIDO POLITICO PUEBLO CONSCIENTE	assets/logos/partido_politico_pueblo_consciente.png
PARTIDO POLITICO TODO CON EL PUEBLO	assets/logos/partido_politico_todo_con_el_pueblo.png
PARTIDO POPULAR CRISTIANO - PPC	assets/logos/partido_popular_cristiano_ppc.png
PARTIDO POR EL ENTENDIMIENTO, RECUPERACION Y LA UNIFICACION DEL PERU	assets/logos/partido_por_el_entendimiento_recuperacion_y_la_unificacion_del_peru.png
PARTIDO SICREO	assets/logos/partido_sicreo.png
PARTIDO UNIDAD Y PAZ	assets/logos/partido_unidad_y_paz.png
PERU MODERNO	assets/logos/peru_moderno.png
PODEMOS PERU	assets/logos/podemos_peru.png
PRIMERO LA GENTE - COMUNIDAD, ECOLOGIA, LIBERTAD Y PROGRESO	assets/logos/primero_la_gente_comunidad_ecologia_libertad_y_progreso.png
PROGRESEMOS	assets/logos/progresemos.png
RENOVACION POPULAR PERU	assets/logos/renovacion_popular_peru.png
RENOVACION TUMBESINA	assets/logos/renovacion_tumbesina.png
SALVEMOS AL PERU	assets/logos/salvemos_al_peru.png
SOCIOS POR ANCASH	assets/logos/socios_por_ancash.png
UN CAMINO DIFERENTE	assets/logos/un_camino_diferente.png
UNIDOS POR TACNA	assets/logos/unidos_por_tacna.png
UNION REGIONAL	assets/logos/union_regional.png
VISION PERU	assets/logos/vision_peru.png
VIVA PUNO	assets/logos/viva_puno.png
YO AREQUIPA	assets/logos/yo_arequipa.png
